,Movie,Days,Shows
0,1 AM,5,5
1,10 CLOVERFIELD LANE,14,14
2,10 ENDRADHUKKULLA,20,57
3,100 DAYS OF LOVE,35,43
4,13 HOURS THE SECRET SOLDIERS OF BENGHAZI,7,14
5,143,4,4
6,144,21,37
7,1920 LONDON,20,20
8,1971 BEYOND BORDERS,4,4
9,2 COUNTRIES,14,14
10,2 PENKUTTIKAL,3,3
11,24,48,116
12,31ST OCTOBER,7,7
13,36 VAYADHINILE,56,92
14,54321,7,7
15,7 HOURS TO GO,6,6
16,7 NAATKKAL,11,11
17,8 THOTTAKKAL,35,41
18,A AA,15,21
19,A BAD MOMS CHRISTMAS,14,14
20,A DOGS PURPOSE,41,41
21,A FLYING JATT,8,15
22,A GENTLEMAN,14,24
23,AADU,7,7
24,AAGAM,5,5
25,AAMBALA,29,80
26,AANANDAM,7,7
27,AANDAVAN KATTALAI,49,116
28,AARAM VETTRUMAI,2,2
29,AARATHU SINAM,21,51
30,AAVIKUMAR,4,4
31,AAYA VADA SUTTA KATHAI,7,7
32,AAYIRATHIL ORUVAN,1,1
33,AB TAK CHHAPPAN 2,7,16
34,ABCD 2,35,53
35,ABY,6,8
36,ACHA DHIN,5,5
37,ACHAARAM,2,2
38,ACHAMINDRI,21,32
39,ACHAYANS,7,7
40,ACHCHAM ENBADHU MADAMAIYADA,61,160
41,ACHCHAM YENBADHU MADAMAIYADA,14,73
42,ACTION HERO BIJU,49,59
43,ADAM JOAN,7,7
44,ADHAGAPPATTATHU MAGAJANANGALAY,3,3
45,ADHAYAN,2,2
46,ADI KAPPYARE KOOTTAMANI,5,7
47,ADIDA MELAM,3,3
48,ADIMAIPENN,7,7
49,ADRA MACHAN VISILU,8,9
50,AE DIL HAI MUSHKIL,42,135
51,AFTERMATH,7,7
52,AIRLIFT,42,70
53,AIVARATTAM,7,7
54,AKHIL,9,16
55,AKIRA,14,23
56,AKSAR 2,7,9
57,ALAMARA,7,9
58,ALICE THROUGH THE LOOKING GLASS,21,21
59,ALIEN COVENANT,7,14
60,ALIGARH,7,7
61,ALL EYEZ ON ME,7,7
62,ALLIED,6,19
