,Year,Month,Date,film_strtitle,total_amount,total_tickets
0,2015,1,1,BLIND DATE,13000.0,112
1,2015,1,1,CHINNADANA NEE KOSAM,19430.0,172
2,2015,1,1,KAPPAL,35900.0,323
3,2015,1,1,KAYAL,88930.0,775
4,2015,1,1,LINGAA,133750.0,1121
5,2015,1,1,MEAGHAMANN,48230.0,412
6,2015,1,1,NIGHT AT THE MUSEUM SECRET OF THE TOMB,34130.0,300
7,2015,1,1,ONE,10320.0,86
8,2015,1,1,PISSASU,54230.0,473
9,2015,1,1,PK,102630.0,869
10,2015,1,1,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,25800.0,215
11,2015,1,1,VELLAKKKARA DURAI,54940.0,478
12,2015,1,2,KAPPAL,56850.0,493
13,2015,1,2,KAYAL,79810.0,699
14,2015,1,2,LINGAA,80770.0,674
15,2015,1,2,MEAGHAMANN,47750.0,419
16,2015,1,2,NAGARA VARITHI NADUVIL NJAAN,7810.0,66
17,2015,1,2,NIGHT AT THE MUSEUM SECRET OF THE TOMB,24190.0,208
18,2015,1,2,ONE,4440.0,37
19,2015,1,2,PISSASU,76920.0,652
20,2015,1,2,PK,38990.0,335
21,2015,1,2,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,25580.0,215
22,2015,1,2,THE WOMAN IN BLACK 2 ANGEL OF DEATH,23770.0,199
23,2015,1,2,UNBROKEN,11900.0,101
24,2015,1,2,VELLAKKKARA DURAI,46890.0,399
25,2015,1,3,KAPPAL,63390.0,564
26,2015,1,3,KAYAL,80040.0,700
27,2015,1,3,LINGAA,100080.0,856
28,2015,1,3,MEAGHAMANN,48500.0,428
29,2015,1,3,NAGARA VARITHI NADUVIL NJAAN,11400.0,95
30,2015,1,3,NIGHT AT THE MUSEUM SECRET OF THE TOMB,47240.0,401
31,2015,1,3,ONE,7440.0,62
32,2015,1,3,PISSASU,79540.0,694
33,2015,1,3,PK,52030.0,462
34,2015,1,3,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,37570.0,314
35,2015,1,3,THE WOMAN IN BLACK 2 ANGEL OF DEATH,35590.0,314
36,2015,1,3,UNBROKEN,15770.0,136
37,2015,1,3,VELLAKKKARA DURAI,57290.0,493
38,2015,1,4,KAPPAL,67350.0,586
39,2015,1,4,KAYAL,73730.0,652
40,2015,1,4,LINGAA,87300.0,755
41,2015,1,4,MEAGHAMANN,47590.0,414
42,2015,1,4,NAGARA VARITHI NADUVIL NJAAN,4560.0,38
43,2015,1,4,NIGHT AT THE MUSEUM SECRET OF THE TOMB,53320.0,459
44,2015,1,4,ONE,10740.0,95
45,2015,1,4,PISSASU,78160.0,677
46,2015,1,4,PK,52030.0,451
47,2015,1,4,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,38880.0,324
48,2015,1,4,THE WOMAN IN BLACK 2 ANGEL OF DEATH,35700.0,303
49,2015,1,4,UNBROKEN,17080.0,157
50,2015,1,4,VELLAKKKARA DURAI,56760.0,506
51,2015,1,5,KAPPAL,42790.0,374
52,2015,1,5,KAYAL,33310.0,317
53,2015,1,5,LINGAA,17410.0,146
54,2015,1,5,MEAGHAMANN,42620.0,368
55,2015,1,5,NAGARA VARITHI NADUVIL NJAAN,2670.0,25
56,2015,1,5,NIGHT AT THE MUSEUM SECRET OF THE TOMB,24840.0,218
57,2015,1,5,ONE,3840.0,32
58,2015,1,5,PISSASU,25470.0,215
59,2015,1,5,PK,38910.0,327
60,2015,1,5,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,21130.0,177
61,2015,1,5,THE WOMAN IN BLACK 2 ANGEL OF DEATH,23420.0,197
62,2015,1,5,UNBROKEN,7710.0,67
63,2015,1,5,VELLAKKKARA DURAI,27450.0,237
64,2015,1,6,KAPPAL,46050.0,403
65,2015,1,6,KAYAL,33590.0,290
66,2015,1,6,LINGAA,18480.0,154
67,2015,1,6,MEAGHAMANN,43460.0,375
68,2015,1,6,NAGARA VARITHI NADUVIL NJAAN,2880.0,24
69,2015,1,6,NIGHT AT THE MUSEUM SECRET OF THE TOMB,24860.0,209
70,2015,1,6,ONE,2280.0,19
71,2015,1,6,PISSASU,35570.0,301
72,2015,1,6,PK,39000.0,347
73,2015,1,6,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,22100.0,186
74,2015,1,6,THE WOMAN IN BLACK 2 ANGEL OF DEATH,23480.0,203
75,2015,1,6,UNBROKEN,10470.0,90
76,2015,1,6,VELLAKKKARA DURAI,35590.0,314
77,2015,1,7,KAPPAL,51270.0,452
78,2015,1,7,KAYAL,34430.0,308
79,2015,1,7,LINGAA,13010.0,113
80,2015,1,7,MEAGHAMANN,37290.0,319
81,2015,1,7,NAGARA VARITHI NADUVIL NJAAN,120.0,1
82,2015,1,7,NIGHT AT THE MUSEUM SECRET OF THE TOMB,24940.0,217
83,2015,1,7,ONE,3120.0,26
84,2015,1,7,PISSASU,24180.0,218
85,2015,1,7,PK,38410.0,332
86,2015,1,7,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,20160.0,168
87,2015,1,7,THE WOMAN IN BLACK 2 ANGEL OF DEATH,28500.0,243
88,2015,1,7,UNBROKEN,9750.0,84
89,2015,1,7,VELLAKKKARA DURAI,24360.0,214
90,2015,1,8,BLIND DATE,12920.0,115
91,2015,1,8,KAPPAL,55770.0,495
92,2015,1,8,KAYAL,35810.0,325
93,2015,1,8,LINGAA,18020.0,152
94,2015,1,8,MEAGHAMANN,41710.0,354
95,2015,1,8,NAGARA VARITHI NADUVIL NJAAN,600.0,5
96,2015,1,8,NIGHT AT THE MUSEUM SECRET OF THE TOMB,24940.0,217
97,2015,1,8,ONE,2520.0,21
98,2015,1,8,PISSASU,21120.0,176
99,2015,1,8,PK,26040.0,228
100,2015,1,8,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,22350.0,189
101,2015,1,8,THE WOMAN IN BLACK 2 ANGEL OF DEATH,29670.0,250
102,2015,1,8,UNBROKEN,11070.0,95
103,2015,1,8,VELLAKKKARA DURAI,30280.0,256
104,2015,1,9,KAPPAL,84060.0,717
105,2015,1,9,KAYAL,11210.0,98
106,2015,1,9,LINGAA,11640.0,97
107,2015,1,9,MEAGHAMANN,35380.0,304
108,2015,1,9,NIGHT AT THE MUSEUM SECRET OF THE TOMB,24140.0,203
109,2015,1,9,PISSASU,35830.0,307
110,2015,1,9,PK,37510.0,323
111,2015,1,9,TAKEN 3,124230.0,1049
112,2015,1,9,TEVAR,76890.0,671
113,2015,1,9,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,20040.0,167
114,2015,1,9,THE WOMAN IN BLACK 2 ANGEL OF DEATH,29670.0,250
115,2015,1,9,VELLAKKKARA DURAI,10220.0,87
116,2015,1,10,GOPALA GOPALA,82230.0,710
117,2015,1,10,KAPPAL,88850.0,767
118,2015,1,10,KAYAL,11900.0,101
119,2015,1,10,LINGAA,11880.0,99
120,2015,1,10,MEAGHAMANN,35770.0,310
121,2015,1,10,NIGHT AT THE MUSEUM SECRET OF THE TOMB,36640.0,309
122,2015,1,10,PISSASU,67250.0,565
123,2015,1,10,PK,47280.0,405
124,2015,1,10,TAKEN 3,91000.0,773
125,2015,1,10,TEVAR,96610.0,817
126,2015,1,10,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,30600.0,255
127,2015,1,10,THE WOMAN IN BLACK 2 ANGEL OF DEATH,23760.0,198
128,2015,1,10,VELLAKKKARA DURAI,11980.0,109
129,2015,1,11,GOPALA GOPALA,80470.0,688
130,2015,1,11,KAPPAL,90170.0,789
131,2015,1,11,KAYAL,11880.0,99
132,2015,1,11,LINGAA,11560.0,100
133,2015,1,11,MEAGHAMANN,35870.0,320
134,2015,1,11,NIGHT AT THE MUSEUM SECRET OF THE TOMB,36780.0,312
135,2015,1,11,PISSASU,68510.0,581
136,2015,1,11,PK,53290.0,456
137,2015,1,11,TAKEN 3,104260.0,900
138,2015,1,11,TEVAR,98940.0,852
139,2015,1,11,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,32640.0,272
140,2015,1,11,THE WOMAN IN BLACK 2 ANGEL OF DEATH,23830.0,205
141,2015,1,11,VELLAKKKARA DURAI,11900.0,101
142,2015,1,12,GOPALA GOPALA,30300.0,258
143,2015,1,12,KAPPAL,67160.0,578
144,2015,1,12,KAYAL,8050.0,68
145,2015,1,12,LINGAA,6610.0,56
146,2015,1,12,MEAGHAMANN,34220.0,287
147,2015,1,12,NIGHT AT THE MUSEUM SECRET OF THE TOMB,20310.0,172
148,2015,1,12,PISSASU,43470.0,365
149,2015,1,12,PK,32410.0,271
150,2015,1,12,TAKEN 3,76700.0,652
151,2015,1,12,TEVAR,34100.0,297
152,2015,1,12,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,11400.0,95
153,2015,1,12,THE WOMAN IN BLACK 2 ANGEL OF DEATH,14290.0,120
154,2015,1,12,VELLAKKKARA DURAI,11650.0,98
155,2015,1,13,GOPALA GOPALA,35990.0,310
156,2015,1,13,KAPPAL,53490.0,465
157,2015,1,13,KAYAL,10490.0,92
158,2015,1,13,LINGAA,9720.0,81
159,2015,1,13,MEAGHAMANN,35550.0,299
160,2015,1,13,NIGHT AT THE MUSEUM SECRET OF THE TOMB,23420.0,197
161,2015,1,13,PISSASU,46200.0,396
162,2015,1,13,PK,38430.0,334
163,2015,1,13,TAKEN 3,69180.0,582
164,2015,1,13,TEVAR,35370.0,303
165,2015,1,13,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,17770.0,149
166,2015,1,13,THE WOMAN IN BLACK 2 ANGEL OF DEATH,17900.0,151
167,2015,1,13,VELLAKKKARA DURAI,11640.0,97
168,2015,1,14,GOPALA GOPALA,12960.0,108
169,2015,1,14,I,418280.0,3790
170,2015,1,14,KAPPAL,23570.0,201
171,2015,1,14,MEAGHAMANN,11880.0,99
172,2015,1,14,NIGHT AT THE MUSEUM SECRET OF THE TOMB,11520.0,96
173,2015,1,14,PISSASU,11160.0,93
174,2015,1,14,PK,23430.0,198
175,2015,1,14,TAKEN 3,25560.0,213
176,2015,1,14,TEVAR,12960.0,108
177,2015,1,14,VELLAKKKARA DURAI,11640.0,97
178,2015,1,15,AAMBALA,170010.0,1491
179,2015,1,15,DARLING,23810.0,203
180,2015,1,15,GOPALA GOPALA,12980.0,110
181,2015,1,15,I,402090.0,3557
182,2015,1,15,KAPPAL,11900.0,101
183,2015,1,15,PK,25980.0,222
184,2015,1,15,TAKEN 3,12970.0,109
185,2015,1,15,TEVAR,11880.0,99
186,2015,1,15,THE THEORY OF EVERYTHING,11640.0,97
187,2015,1,16,AAMBALA,147910.0,1316
188,2015,1,16,AMERICAN SNIPER,11880.0,99
189,2015,1,16,DARLING,23980.0,220
