,Year,Month,film_strtitle,total_amount,total_tickets
0,2015,1,AAMBALA,1502140.0,13110
1,2015,1,AMERICAN SNIPER,199990.0,1728
2,2015,1,BABY,512610.0,4412
3,2015,1,BIRDMAN,47690.0,402
4,2015,1,BLIND DATE,39820.0,356
5,2015,1,CHINNADANA NEE KOSAM,19430.0,172
6,2015,1,DARLING,928330.0,8177
7,2015,1,DHARANI,13930.0,117
8,2015,1,DOLLY KI DOLI,109900.0,947
9,2015,1,FOXCATCHER,25370.0,216
10,2015,1,GOPALA GOPALA,444420.0,3786
11,2015,1,HAWAIZAADA,23540.0,198
12,2015,1,I,4629640.0,40421
13,2015,1,ISAI,147460.0,1326
14,2015,1,KAPPAL,904630.0,7875
15,2015,1,KAYAL,513180.0,4524
16,2015,1,KHAMOSHIYAN SILENCES HAVE SECRETS,25730.0,219
17,2015,1,KILLADI,19780.0,174
18,2015,1,LINGAA,520230.0,4404
19,2015,1,MARIYAM MUKKU,53130.0,462
20,2015,1,MEAGHAMANN,545820.0,4708
21,2015,1,MORTDECAI,60730.0,507
22,2015,1,NAGARA VARITHI NADUVIL NJAAN,30040.0,254
23,2015,1,NIGHT AT THE MUSEUM SECRET OF THE TOMB,411270.0,3518
24,2015,1,ONE,44700.0,378
25,2015,1,PATAS,72620.0,640
26,2015,1,PICKET 43,61850.0,520
27,2015,1,PISSASU,667610.0,5713
28,2015,1,PK,1054830.0,8999
29,2015,1,PONGE EZHU MANOHARA,3240.0,27
30,2015,1,PULAN VISARANAI 2,25220.0,223
31,2015,1,SEVENTH SON,25880.0,223
32,2015,1,SHARAFAT GAYI TEL LENE,56820.0,479
33,2015,1,TAKEN 3,709320.0,6022
34,2015,1,TEVAR,445560.0,3812
35,2015,1,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,326020.0,2726
36,2015,1,THE IMITATION GAME,202790.0,1711
37,2015,1,THE THEORY OF EVERYTHING,199870.0,1672
38,2015,1,THE WOMAN IN BLACK 2 ANGEL OF DEATH,309580.0,2633
39,2015,1,THOTTAL THODARUM,62850.0,543
40,2015,1,TOURING TALKIES,13860.0,121
41,2015,1,UNBROKEN,83750.0,730
42,2015,1,VELLAKKKARA DURAI,402590.0,3486
43,2015,2,AADU,32260.0,278
44,2015,2,AAMBALA,134790.0,1159
45,2015,2,AB TAK CHHAPPAN 2,51740.0,444
46,2015,2,AMERICAN SNIPER,373130.0,3158
47,2015,2,ANEGAN,2036200.0,17984
48,2015,2,BABY,591270.0,5007
49,2015,2,BADLAPUR,346810.0,2990
50,2015,2,BIRDMAN,437870.0,3714
51,2015,2,BLIND DATE,20250.0,188
52,2015,2,DARLING,410470.0,3537
53,2015,2,DHARANI,3650.0,35
54,2015,2,DOLLY KI DOLI,41530.0,358
55,2015,2,DUM LAGA KE HAISHA,56610.0,480
