,Year,Month,Date,Time,screen_strname,film_strtitle,areacat_strdesc,total_amount,total_tickets
0,2015,1,1,08:15:00,PLUSH,NIGHT AT THE MUSEUM SECRET OF THE TOMB,BUDGET,70.0,7
1,2015,1,1,08:15:00,PLUSH,NIGHT AT THE MUSEUM SECRET OF THE TOMB,ELITE,8040.0,67
2,2015,1,1,08:50:00,KITES,CHINNADANA NEE KOSAM,BUDGET,90.0,9
3,2015,1,1,08:50:00,KITES,CHINNADANA NEE KOSAM,ELITE,7680.0,64
4,2015,1,1,09:00:00,STREAK,PISSASU,ELITE,8040.0,67
5,2015,1,1,09:05:00,SPOT,PK,BUDGET,20.0,2
6,2015,1,1,09:05:00,SPOT,PK,ELITE,12600.0,105
7,2015,1,1,09:35:00,BLUSH,VELLAKKKARA DURAI,ELITE,7200.0,60
8,2015,1,1,09:40:00,FRAME,MEAGHAMANN,BUDGET,10.0,1
9,2015,1,1,09:40:00,FRAME,MEAGHAMANN,ELITE,9600.0,80
10,2015,1,1,09:40:00,WEAVE,LINGAA,ELITE,4800.0,40
11,2015,1,1,09:50:00,CARVE,KAYAL,BUDGET,110.0,11
12,2015,1,1,09:50:00,CARVE,KAYAL,ELITE,9720.0,81
13,2015,1,1,11:00:00,PLUSH,LINGAA,BUDGET,40.0,4
14,2015,1,1,11:00:00,PLUSH,LINGAA,ELITE,29040.0,242
15,2015,1,1,12:00:00,KITES,CHINNADANA NEE KOSAM,BUDGET,20.0,2
16,2015,1,1,12:00:00,KITES,CHINNADANA NEE KOSAM,ELITE,11640.0,97
17,2015,1,1,12:00:00,STREAK,PK,BUDGET,20.0,2
18,2015,1,1,12:00:00,STREAK,PK,ELITE,33240.0,277
19,2015,1,1,12:30:00,SPOT,NIGHT AT THE MUSEUM SECRET OF THE TOMB,BUDGET,40.0,4
20,2015,1,1,12:30:00,SPOT,NIGHT AT THE MUSEUM SECRET OF THE TOMB,ELITE,12960.0,108
21,2015,1,1,12:45:00,BLUSH,PISSASU,BUDGET,30.0,3
22,2015,1,1,12:45:00,BLUSH,PISSASU,ELITE,11760.0,98
23,2015,1,1,12:50:00,FRAME,MEAGHAMANN,ELITE,12960.0,108
24,2015,1,1,13:00:00,CARVE,ONE,ELITE,10320.0,86
25,2015,1,1,13:20:00,WEAVE,VELLAKKKARA DURAI,BUDGET,20.0,2
26,2015,1,1,13:20:00,WEAVE,VELLAKKKARA DURAI,ELITE,11880.0,99
27,2015,1,1,14:50:00,PLUSH,LINGAA,BUDGET,10.0,1
28,2015,1,1,14:50:00,PLUSH,LINGAA,ELITE,33480.0,279
29,2015,1,1,15:10:00,KITES,KAPPAL,BUDGET,90.0,9
30,2015,1,1,15:10:00,KITES,KAPPAL,ELITE,11880.0,99
31,2015,1,1,15:20:00,SPOT,MEAGHAMANN,BUDGET,70.0,7
32,2015,1,1,15:20:00,SPOT,MEAGHAMANN,ELITE,12720.0,106
33,2015,1,1,15:30:00,BLUSH,VELLAKKKARA DURAI,BUDGET,60.0,6
34,2015,1,1,15:30:00,BLUSH,VELLAKKKARA DURAI,ELITE,11880.0,99
35,2015,1,1,15:40:00,CARVE,PK,BUDGET,40.0,4
