,Year,Month,Date,session_intshownumber,screen_strname,film_strtitle,areacat_strdesc,total_amount,total_tickets
0,2015,1,1,1,BLUSH,VELLAKKKARA DURAI,ELITE,7200.0,60
1,2015,1,1,1,CARVE,KAYAL,BUDGET,110.0,11
2,2015,1,1,1,CARVE,KAYAL,ELITE,9720.0,81
3,2015,1,1,1,FRAME,MEAGHAMANN,BUDGET,10.0,1
4,2015,1,1,1,FRAME,MEAGHAMANN,ELITE,9600.0,80
5,2015,1,1,1,KITES,CHINNADANA NEE KOSAM,BUDGET,90.0,9
6,2015,1,1,1,KITES,CHINNADANA NEE KOSAM,ELITE,7680.0,64
7,2015,1,1,1,PLUSH,NIGHT AT THE MUSEUM SECRET OF THE TOMB,BUDGET,70.0,7
8,2015,1,1,1,PLUSH,NIGHT AT THE MUSEUM SECRET OF THE TOMB,ELITE,8040.0,67
9,2015,1,1,1,SPOT,PK,BUDGET,20.0,2
10,2015,1,1,1,SPOT,PK,ELITE,12600.0,105
11,2015,1,1,1,STREAK,PISSASU,ELITE,8040.0,67
12,2015,1,1,1,WEAVE,LINGAA,ELITE,4800.0,40
13,2015,1,1,2,BLUSH,PISSASU,BUDGET,30.0,3
14,2015,1,1,2,BLUSH,PISSASU,ELITE,11760.0,98
15,2015,1,1,2,CARVE,ONE,ELITE,10320.0,86
16,2015,1,1,2,FRAME,MEAGHAMANN,ELITE,12960.0,108
17,2015,1,1,2,KITES,CHINNADANA NEE KOSAM,BUDGET,20.0,2
18,2015,1,1,2,KITES,CHINNADANA NEE KOSAM,ELITE,11640.0,97
19,2015,1,1,2,PLUSH,LINGAA,BUDGET,40.0,4
20,2015,1,1,2,PLUSH,LINGAA,ELITE,29040.0,242
21,2015,1,1,2,SPOT,NIGHT AT THE MUSEUM SECRET OF THE TOMB,BUDGET,40.0,4
22,2015,1,1,2,SPOT,NIGHT AT THE MUSEUM SECRET OF THE TOMB,ELITE,12960.0,108
23,2015,1,1,2,STREAK,PK,BUDGET,20.0,2
24,2015,1,1,2,STREAK,PK,ELITE,33240.0,277
25,2015,1,1,2,WEAVE,VELLAKKKARA DURAI,BUDGET,20.0,2
26,2015,1,1,2,WEAVE,VELLAKKKARA DURAI,ELITE,11880.0,99
27,2015,1,1,3,BLUSH,VELLAKKKARA DURAI,BUDGET,60.0,6
28,2015,1,1,3,BLUSH,VELLAKKKARA DURAI,ELITE,11880.0,99
29,2015,1,1,3,CARVE,PK,BUDGET,40.0,4
30,2015,1,1,3,CARVE,PK,ELITE,12000.0,100
31,2015,1,1,3,FRAME,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,ELITE,12840.0,107
32,2015,1,1,3,KITES,KAPPAL,BUDGET,90.0,9
33,2015,1,1,3,KITES,KAPPAL,ELITE,11880.0,99
34,2015,1,1,3,PLUSH,LINGAA,BUDGET,10.0,1
35,2015,1,1,3,PLUSH,LINGAA,ELITE,33480.0,279
36,2015,1,1,3,SPOT,MEAGHAMANN,BUDGET,70.0,7
37,2015,1,1,3,SPOT,MEAGHAMANN,ELITE,12720.0,106
38,2015,1,1,3,STREAK,KAYAL,BUDGET,120.0,12
39,2015,1,1,3,STREAK,KAYAL,ELITE,33480.0,279
40,2015,1,1,3,WEAVE,PISSASU,BUDGET,90.0,9
41,2015,1,1,3,WEAVE,PISSASU,ELITE,11880.0,99
42,2015,1,1,4,BLUSH,VELLAKKKARA DURAI,BUDGET,90.0,9
43,2015,1,1,4,BLUSH,VELLAKKKARA DURAI,ELITE,11880.0,99
44,2015,1,1,4,CARVE,PK,BUDGET,40.0,4
45,2015,1,1,4,CARVE,PK,ELITE,11160.0,93
46,2015,1,1,4,FRAME,NIGHT AT THE MUSEUM SECRET OF THE TOMB,BUDGET,60.0,6
47,2015,1,1,4,FRAME,NIGHT AT THE MUSEUM SECRET OF THE TOMB,ELITE,12960.0,108
48,2015,1,1,4,KITES,KAPPAL,BUDGET,100.0,10
49,2015,1,1,4,KITES,KAPPAL,ELITE,11880.0,99
50,2015,1,1,4,PLUSH,LINGAA,BUDGET,20.0,2
51,2015,1,1,4,PLUSH,LINGAA,ELITE,33360.0,278
52,2015,1,1,4,SPOT,BLIND DATE,BUDGET,40.0,4
53,2015,1,1,4,SPOT,BLIND DATE,ELITE,12960.0,108
54,2015,1,1,4,STREAK,KAYAL,BUDGET,120.0,12
55,2015,1,1,4,STREAK,KAYAL,ELITE,33480.0,279
56,2015,1,1,4,WEAVE,PISSASU,BUDGET,80.0,8
57,2015,1,1,4,WEAVE,PISSASU,ELITE,11880.0,99
58,2015,1,1,5,BLUSH,VELLAKKKARA DURAI,BUDGET,50.0,5
